Sr.no.,Review_body,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,sent.val1,category_senti1,Date,Weekday,Month and Year,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18
1, absolutely fantastic customer service marious helpful helped save money better contract professional chap helpful great customer service stars leah marious making night rang simple plan change ended laughing phone great stuff guys pay rise deserve x ,2,4,0,1,5,0,1,6,0,8,6.25,Positive,02-Nov-18,Friday,Nov-18,-2.75,3.4,0.75,1.5,-0.75,-0.75,3.05,-1.85,0.65,-0.3,-4.55,9,0.5,0.05,3,3.55,-0.75,0.55,6.25
2, formar tmobile last yrs two lines moment one official number another line use punting purposes wgs ukpuntingaw know punting number lol unlimited plans also payg sim also use punting superfast g network star ,0,2,0,1,1,0,0,2,0,2,1.1,Positive,02-Nov-18,Friday,Nov-18,0.55,-0.65,-0.15,5.35,-1.6,0.05,-3.15,2.15,-0.4,-1.8,0,-0.65,1.55,1.3,0.4,0.55,0.25,4.15,1.1
3, customer number years now major signal issues first time around went far longmonths precise agreed upgrade now google pixel phone fantastic begin slowly started developing faults rang customer services told take store took store said online purchase times done now loyal customer never missed paymenteven though paying service clearly receiving spoken numerous customer service representatives regards contract cancelled breach contract signal drops randomly pictures contacts deleted twice apps randomly dissapear getting nowhere long time now well within rights contract terminated least early upgrade farnothing now referred ombudsman solution met ,0,4,0,1,2,0,3,2,1,8,2.75,Positive,02-Nov-18,Friday,Nov-18,0.6,2.2,-2.25,-0.15,0,1.8,4.65,0.35,0.95,4.1,3.1,1.8,0.3,-0.55,-2.25,0.5,1.35,-0.7,2.75
4, far far best customer service havecrecived company ever dealt nothing much trouble ways gone beyond recommend highly enough simply wonderful ,0,0,0,0,1,0,1,2,0,3,1,Positive,01-Nov-18,Thursday,Nov-18,2,-0.7,2.6,-2.3,-2.5,-1.25,0.65,1.55,-2.65,5.1,2.8,0.9,1.3,-1.1,0.5,5.35,-2.85,-1.15,1
5, preordered huawei mate pro last wednesday collected friday th went store collect told hadn t yet phoned store saturday morning find stock yet told handsets stock preordered  t  re different batch stock finally received email monday th saying phone delivered store ready collection opening times tuesday th went store mile round trip paying parking told still haven t got tried phoning store wednesday st numerous times answer tried phoning store today thursday st november surprise still answer complete joke considering preordered phone release date almost week release date still sign phone idea going receive giving till end week  ll cancelling direct debits shocking behaviour customer service loyal customer years ,0,3,1,2,3,0,4,4,1,9,3.7,Positive,01-Nov-18,Thursday,Nov-18,-1.7,-3.65,1.25,-0.35,-1.55,-1.8,2.3,-0.15,-0.75,0.4,2.1,1.6,7.2,0.6,0.4,-0.85,4.8,-2.35,3.7
6, shocking customer service got phone stands cancelling contract requesting pac code loyal customer years expected team put abit fight keep either way offering pretty good deals loyalty discounts onto account instead talked mentioned laughed service operator dealing expressed unhappiness made feel undervalued disrespectful unprofessional employee shame see treat customers nowupdate rang tonight bill query decided give one last shot joined three luckily spoke guy called reece seem care go extra mile keep offering fantastic deal made feel wanted rewarded loyal customer although go different employees plus one extremely rude one pleased say next year atleast shout reece shame employees decent helpful saved customer leaving ,5,5,3,6,7,5,6,10,7,12,4.9,Positive,01-Nov-18,Thursday,Nov-18,0.6,0.95,-0.25,2.05,1.6,-0.4,-0.85,0.5,-0.05,1.75,-1.25,-0.6,0.7,1.15,-5.6,-0.75,-0.4,-2.7,4.9
7, joined august broadband tv now second tv box reason now says service disconnected solution send us new box third asked cancel tv take another broadband contact months engineer visit arranged previous problem told company employing engineer rang due data protection wife primary account holder although named account tell arrive recommendation anybody based experience avoid ,0,1,0,2,0,2,0,1,3,7,3.5,Positive,01-Nov-18,Thursday,Nov-18,1.6,2.8,-1,1.1,-3.05,0.95,2,4.1,-2.1,2.05,-0.1,1.75,2.35,0.4,5.1,-0.3,-0.95,0.9,3.5
8, absolutely terrible service seem phone every month bill inconsistencies recently upgraded s dropped bill always around odd reason add ons added without nobodys knowledge anyway bill supposed now saying bill listenes call £ never mentioned apparently nothing feel like stuck im apparently making number quoted bill god sake quoted remembered lot dodgyness going ask horrendous customer service calls supposed returned never speaking different people time told something different massively unsatisfied customer save money choose differant provider ,2,4,2,2,3,2,1,4,3,6,0.55,Positive,31-Oct-18,Wednesday,Oct-18,0.25,0.9,2.6,-0.75,-1.05,1.15,-3.25,-1.25,-3.5,6.25,-2.2,-1.45,-6.6,0.55,0.1,5.55,-5.15,-2.6,
9, dealt mobile phone companies professionally personally years experience weekend shows bad phones couple subscribed apple music inform month free trial started ended paying long time sure reason provide months freeadditionally picked coverage isle wight travel quite bit significantly better providers used past additionally roaming data transfer functionality also really good thing able share data across phones also travel overseas although roaming now allowed across eu countries always reminded abroad use phone extra charges however calling abroad uk march next year still part eu charged little disappointed cap costs phoneshowever calling weekend remove apple music query calls made france chap spoke pleasant welsh accent bent backwards help cancelling apple music suggesting free add tarriff provide cheaper calls abroad somewhat dissapointed free ask dealt number queries agreed uk eu confusing although told first took contract use phone free anywhere eu go back check told elapsed time also upgrade one phone tarriff getting almost times amount data around £ less payingcoverage pretty good everywhere one occasion ever able signal middle new forest timecustomer service experience goodsmall print read carefully record told sign ,3,9,3,2,5,4,2,9,6,11,4.15,Positive,31-Oct-18,Wednesday,Oct-18,0,0.95,1.15,0.6,0.8,2.45,-1.3,3.8,-2.65,1.2,0.8,-1.5,0.15,-3.5,-1.35,1,1.6,-3.2,
10, live zone london stuck adsl internet home y truly disappointing continuously disappointing well expected standard countless discounts matter deal pay agreed amount make sure access internet agreed speed actually trying post review ever started typing like hours ususal like past y finally contract actually cant even believe managed duck pardon french things point must say cant deliver dont sell product thats bad without internet countless times past years back reply yes sorry see problems sort now give discount first foremost fix help secondly enter agreement basis problems every ducking day discount entered agreement thinking provide internet access speed pay ducking joke cat next door sneezes internet dies mins comes back die woman across street takes shajt truly disappointing acquaintance long live try avoid anyone ever worked boo sorry excuse internetprovider cant worst site allowed minus points maximum minimum now im concerned able post review without reliable internet connection seen sorry google chrome sorry dinosaur google logo past years ,1,5,2,5,3,4,2,7,8,9,-0.7,Negative,31-Oct-18,Wednesday,Oct-18,-2.8,-0.5,-5.6,2.7,-2.3,3.15,-1.75,5.9,2.3,0.65,-0.15,-2.6,1.9,-2.45,1.1,-0.8,2.7,0.4,
