Sr.no.,Review_body,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,sent.val1,category_senti1,Date,Weekday,Month and Year,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18
1, sold sim card extremely unclear tariffs prepaid service required payment eur per day top data already purchased ripped big time ,0,2,0,0,0,0,0,1,1,1,-0.6,Negative,02-Nov-18,Friday,Nov-18,1.05,-1.1,-2.05,3.8,-3.4,-0.85,-3.25,-0.6,1.4,-1.15,-6.05,-2.35,1.05,1.45,-0.75,-0.75,0.15,-0.15,-0.6
2, needed sim card tracker used franceo shop sold one saying needed france tried set tracker find usable ukwent back shop told head office authorise refund shop one email saying process without account details replied surprised staff forward purchase details reply ,0,0,0,0,0,0,1,1,0,1,2.25,Positive,02-Nov-18,Friday,Nov-18,0.25,-1.25,3.55,0.6,-1.95,-1,-2,0.25,-4.25,-1.9,-0.5,-1.8,-0.75,1.35,1.1,0.75,2.25,3.35,2.25
3, o years worked years never ever experienced terrible customer service past half years suffered terrible data reception worked london bridge connection terrible work westminster now face issue travel work via croydon poor signal called many times complain keep getting told mast o  t always guarantee good signal absolutely fed registered complaint escalated emailed senior manager got back  s week since responded email network size o continuous signal problems like ,3,2,1,1,1,2,1,3,3,4,-1.15,Negative,02-Nov-18,Friday,Nov-18,-0.45,-2.95,-2.5,0.6,2.6,-0.45,0,-0.85,-2.4,0,-0.25,0.6,3.95,0.15,3.3,1.75,-3.25,-0.5,-1.15
4, bought new phone contract via reseller worked well farlooking previous reviews company well mobile service providers appear much companies make lives better improve procedures power ofcom act starters competition ,0,3,0,0,1,0,0,1,1,1,3.15,Positive,01-Nov-18,Thursday,Nov-18,0.2,-1.5,3.45,1.5,0.35,0.1,5.45,1.55,1,-0.55,-1.15,-0.25,3.35,-0.15,2.45,3,-0.75,1.65,3.15
5, goto another provider stolen money ,2,1,0,0,1,0,1,1,1,1,-0.15,Negative,30-Oct-18,Tuesday,Oct-18,-4.9,-1.75,-5.45,0.25,-0.75,0,-0.85,0.35,-0.55,1.25,-0.5,-0.15,4.7,0.15,-0.75,-1.25,2.4,-2.4,
6, put less phoned o told motherlaw package phone paying £ less told cancel details price match phoned told don t price match offered £ deal package phoned tell much cheaper deal needed keep phone active moms organ transplant list  m ill also need phone use times o told request pac code transfer numbers new sim arrived requested pac code text told put new sim phone said service continue receiving important calls texts phone said service put new sim surprise surprise phone needs unlocked take days explained circumstances mother plus month old son taken care support workers couldn t contact said phone apple sooner apple say  t o phoned woman told take manager asap push unlock phone house phone done also cancel last bill time managers available hours later word still service  t believe away service times told must mobile active time lied cheated think £ shut sign o appalling ,1,8,2,3,5,3,3,7,5,10,3.35,Positive,30-Oct-18,Tuesday,Oct-18,2.9,-0.15,-2.45,-0.45,0.5,-1.5,2,0.15,-2,-0.9,0.05,1.5,2.4,-0.8,3.1,0.2,-3.5,0.8,
7, service like nightmare enough said btw  s germany ,0,0,0,1,0,0,0,0,1,0,-0.5,Negative,29-Oct-18,Monday,Oct-18,-0.75,0.05,-0.75,5.2,-1.6,1.15,4.6,2.05,-0.4,-1.25,-0.55,-2.8,0.6,-7,-5.35,-1.45,1.55,-0.25,
8, went upgrade telephone according contract balham london storefirst none telephones recommended stock surprise surprise expensive model deal end revealed wifi working word apology hand attempt tell us pointed data roaming idle walk front shop better signal second assistant sat playing phone accused us negative pointed particularly techsavvyleft shop feeling angry determined never use ,3,3,2,3,3,2,3,3,4,8,1.65,Positive,28-Oct-18,Sunday,Oct-18,-0.85,2.65,1.55,0.2,-0.45,-0.55,-0.05,1.6,-2.85,0,-0.7,-3.75,-0.2,3.45,1.55,1.15,2.95,0.05,
9, ever tried cancelling contract old phone broken hence need end contract cant send information anywhere else except old phone told go o shop two forms id arrived store told deal sales rang o o customer services refused help although sitting front one representatives passport bank details might said know exact amount last bill returned hom acquired information rang asked give amount last bill told go store two forms id tried explain store said protocol told wa refused let speak anyone elses hung rang o store told come back two forms id absolute garbage cancelled bank never touch o ,1,2,1,1,1,2,1,3,3,6,-2.4,Negative,28-Oct-18,Sunday,Oct-18,-3.75,-0.35,0.05,0.5,0.15,-1.7,1.1,-1.35,1.4,-2.35,0,-0.5,-1.5,0,0.35,2.05,0.45,3.65,
10, really unreliable customer service promised many times representative call put tasks yet call attitude eventually speak someone one really care leave us going avoid sons vodafone well looked ,0,0,0,1,0,1,1,1,3,1,0.8,Positive,27-Oct-18,Saturday,Oct-18,1.85,-1,-6.4,0.1,-1.55,2.4,-1.7,1.85,0.35,0.15,-3,2.85,-0.75,-1.95,-3.2,1.35,-0.35,2.2,
