Sr.no.,Review_body,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,sent.val1,category_senti1,Date,Weekday,Month and Year,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18
1, shocking customer service  ve ever experienced ever ring support tell ring store ring store tell ring one clue impossible help  m disappointed ,1,2,1,0,0,2,0,1,2,3,-1.15,Negative,01-Nov-18,Thursday,Nov-18,-1.5,0.15,-1.2,1.1,0.25,-0.15,2.1,-0.1,3.15,2.95,1.3,-1.4,3.35,5.05,-1.2,0.6,1.75,2.3,-1.15
2, hi found bean charging dongle use seven years contract ended said refunding money five days forth time said ,1,2,0,0,2,0,1,2,0,2,1.2,Positive,01-Nov-18,Thursday,Nov-18,3.9,4.9,-2,1.75,1.9,2.45,-2.4,-0.65,4.75,-1.8,1.15,1.15,2.9,3.45,-1.95,-2,0.35,0.5,1.2
3, minimum number times need contact something sortedjoining network easy leaving getting pac code experience hellish difficulty took days achieve took vodafone seconds another account written letter remember sent ceo david dyson never got replyservice centre staff seem enjoy treating customers contempt based experience nasty company seemingly rotten service culture top management coalface ,4,4,3,4,2,3,0,5,5,6,0.2,Positive,01-Nov-18,Thursday,Nov-18,0.25,-1.35,2.95,3.2,1.55,-0.4,0.15,-1.3,-0.75,-2.8,-0.35,-1.55,1.2,3.9,-0.05,3.05,1,1.05,0.2
4, advised advisor purchase trio sim £ use day trip turkey needed unlimited data promised reached turkey put new sim phone work traveling young children going internet cafe difficult touch told sim purchased work turkey promised contacted times given £ credit pay go use turkey never worked either tried contacting times nothing worked put real downer holiday now left sim card paid £ use asked refund denied already activated sim card bad experience deed received answer say activated sim uk months us first vital information told purchased sim cardsecondly need extra sim card uk purchased use turkey says lasts days thrown £ pounds window spent hours internet cafes turkey unhappy children simply good enough ,2,4,2,2,4,3,3,6,4,13,3.8,Positive,01-Nov-18,Thursday,Nov-18,0.75,0.5,2.95,4.25,2.9,2.15,0.75,2.05,-3.45,2.85,1.1,-0.2,0.65,1.25,-0.7,1.3,-3.8,-0.45,3.8
5, rubbish company networks far worst never ever use signal rubbish network even connect signal customer service operators rude lie use ever ,1,1,2,0,0,1,0,0,2,1,-2.25,Negative,01-Nov-18,Thursday,Nov-18,1.3,1.8,1.5,3.85,0.3,1.25,2.1,-1.65,8,8.45,-1.6,-1.1,-0.45,0.25,1.05,-3.5,0.25,2.75,-2.25
6, romanian man bluewater store served nice helpful  t fault service personal friendly definitely return due upgrade getting better coverage speeds previous provider sky mobile ,0,3,0,0,2,1,0,3,1,4,2.3,Positive,31-Oct-18,Wednesday,Oct-18,0.75,-1.3,3.8,1,1.1,0.65,-3.05,0.35,-1.55,-2.25,0.05,1.5,-5.75,0.85,-2,0.55,-2.75,-0.5,
7, amazing roaming services different counties months access everything time ,0,1,0,0,0,0,0,0,0,0,0.5,Positive,31-Oct-18,Wednesday,Oct-18,4.3,-3.05,2.4,0.5,3.45,2.2,2.25,2.35,-0.6,-0.25,-2.5,-3.25,-0.55,-0.05,0.05,6.55,2,2.05,
8, rarely post reviews however coming year now travel times year usa never let roaming changes always come home  look saved £s   t fault service chat tool helpful ,0,1,0,0,1,1,0,1,1,1,1.05,Positive,31-Oct-18,Wednesday,Oct-18,3.8,2.55,-2.5,-1.85,1.05,0.35,5.25,0.35,1.35,-0.25,-0.5,2.6,-2.7,-5.15,-0.45,-0.55,-0.75,1.75,
9, worst customers service ever spoke lot customers service people one able solve problem ,0,0,0,1,0,1,0,0,2,0,-0.45,Negative,31-Oct-18,Wednesday,Oct-18,-3.55,1.75,3.15,-0.75,1.3,0.4,2,-0.75,0.1,-2.45,3.15,0.15,0.55,-1.7,6.35,-0.5,-1.35,0.85,
10, adore best network uk plenty data gb plan £ wow excellent best ,0,3,0,0,2,0,0,2,0,2,2.75,Positive,30-Oct-18,Tuesday,Oct-18,-4.05,-1.15,3.35,-1.95,3.3,-0.5,0.85,0,2.45,-3.2,3.3,2.45,-0.5,2.3,4.3,-2.6,-3.55,-3.15,
