Sr.no.,Review_body,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,sent.val1,category_senti1,Date,Weekday,Month and Year,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18
1, using mobile broadband  m really happy broadband however switch mobile worst decision life due business o email push notifications mobile internet working like fetch system delayed notifications apps  s absolutely unacceptable probably switch vodafone least paying bit getting proper services instead wasting money unusable gb data spoken customer services done nothing don t even take care  ll start leaving process  m really really disappointed dissatisfied negotiate agian never ever ,2,4,2,1,2,3,1,6,4,8,-1.95,Negative,02-Nov-18,Friday,Nov-18,-1.65,-0.6,-2.5,4.1,2.9,4.55,-1.7,1.85,-2.85,0.55,4.85,-2.65,-0.7,0.85,0.65,-0.05,4.15,-1.5,-1.95
2, rip service spend huge amount money top small amount features half price got another simavoid ,1,2,0,0,1,0,1,2,1,2,0.35,Positive,02-Nov-18,Friday,Nov-18,-3.45,-0.15,-0.75,-0.2,6.35,0.2,-2.35,-0.1,1.8,-1.65,1.9,0.95,1.3,-2.5,-1.6,-2.95,0.5,-3.25,0.35
3, astronomical prices go allowance without warning bill went £ £ without warning apparits £ every time use internet allowance used add insult injury phone somewhere asia staff even pronounceyour name help ,2,1,1,2,0,2,1,0,2,0,-2.25,Negative,02-Nov-18,Friday,Nov-18,-1.7,-2.5,2.55,-1.4,-2.1,3.35,-1.1,-1,1.3,2.25,-0.6,1,-2.15,-0.25,0.75,1.95,1.05,0.05,-2.25
4, insurance warranty mean nothing people website customer service system designed deliberately avoid honouring happily charge whistles bells might well avoid ,0,0,0,1,1,0,0,2,1,3,1.05,Positive,02-Nov-18,Friday,Nov-18,-1.2,-0.2,0.7,-0.05,2.15,-2.15,-1.5,0.85,0.2,-4.95,-0.7,-0.35,3.75,-2.4,-1.9,0.85,2.75,-0.65,1.05
5, mobile months never experienced single issueservice great lightning fast g g pretty much full bars times yes aware use eewhenever needed phone customer services  re always polite extremely helpful absolute pleasure dealing  ve cancelled existing months contracted upgraded gb month sim deal next couple days ll never look back mobile ,1,3,0,1,3,0,2,5,1,9,4.3,Positive,01-Nov-18,Thursday,Nov-18,1.9,0.9,-2.2,-0.05,4.85,-2.65,0.7,-1.75,2.5,-2.55,0.25,-1.15,-3.9,-2.05,2.9,-1.15,-1.65,1.55,4.3
6, loyal mobilemedia customer literally decades recent years felt started take pee constant pricing package alterations ultimately felt manipulated customer finally lost toss giffgaff smarty chose smarty based reviews type service wanted honestly say looked back smarty refer friend scheme great bonus like least one free month use link http referme blddrxoimportant copy paste browser deleting spaces otherwise work also gives free month knowcheers happy mobile move ,0,5,1,1,5,1,3,6,3,9,4.15,Positive,01-Nov-18,Thursday,Nov-18,-5.65,1.25,1.3,1.75,-1.55,-1,1.45,-1.35,-1.3,-0.25,-0.15,-0.45,5.6,-0.95,2.4,-3,-1.85,-5.45,4.15
7, charged £ sim longer never used initially received email claiming owed £ ,0,0,0,0,0,0,0,0,0,1,0.6,Positive,01-Nov-18,Thursday,Nov-18,-1.25,1.25,-0.45,-1.35,1.25,0.55,5.15,-1.5,-1,-1.55,3.9,-2,1.4,-2,-0.9,2.75,2,2.05,0.6
8, signed month sim contract contract end called say don t wish continue apparently give day notice pay extra month contract don t want fine whatever following month  m charged shouldn t  d noticed beginning contract two different payments taken taken time wasn t sure fact charged twice called told one payment taken anyway now call asking  m still charged say  m reference payment bank find  ve charged twice every single month entirety contract meaning year call said  ve put enquiry  ll call back within days payment cancelled wait working days call back time  m told  ll take hear back weeks  s now almost month still haven t call back  ve payment taken account called tried offer upgrade account didn t open don t got annoyed asked speak someone regards enquiry made woman hung calling back second woman bona much helpful understanding still  t believe horrific every customer service experience  ve unfortunately good one  t outdo bad ones ,2,6,2,2,3,2,1,10,4,12,1.1,Positive,01-Nov-18,Thursday,Nov-18,-0.3,0.1,3.3,-0.7,4.65,0.7,3.25,7.05,1.15,7.65,-1.4,-4.2,0,0.2,-0.95,1.11E-16,-1,-3.4,1.1
9, month old sony phone charge port broken say problem broken unless ,1,0,0,2,0,2,0,0,2,0,-1.5,Negative,31-Oct-18,Wednesday,Oct-18,-0.3,-0.35,0.1,-1.5,-0.15,3.05,0.15,1.25,-4.4,-2.35,-0.95,9.4,2.2,-5.2,-4.15,-0.7,-5.6,0.8,
10, past four years experiencing bad service first weak signal even comparison mothernetwork ee extra charges long messages using signs emojis wanted leave staff contacted offered discount monthly payments two sim cards however first bill showed £ sim card contacted customer service told discount mistake able offer regular online discounts another issue regarding abroad july arrived country located zone three calling roaming charged expensively powered phone change sim domestic one however seen driven crazy charged five second sim card exchange £ uk contacted customer service staff member argued rule anything asked submit complaint told pass complaint   received reaction minute disappointed renew contracts ,4,2,2,4,0,5,1,3,6,6,-3.25,Negative,30-Oct-18,Tuesday,Oct-18,,0.15,0.25,-1.85,2.15,1.75,5.6,1.15,-2.85,0.25,1.1,6.4,0.4,-1.25,0.35,1.3,1,-1,
