Sr.no.,Review_body,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,sent.val1,category_senti1,Date,Weekday,Month and Year,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18
1, give company even one star high complement staff rude unhelpful cancelled contract really employ call centres seem think charge telling seem understanding employed service customer extremely shocking please use company review puts one person taking contract worth experience ,0,2,0,0,2,0,1,4,0,5,0.8,Positive,03-Nov-18,Saturday,Nov-18,,,,,-0.55,2.9,0.15,0.3,0.45,-0.35,2.15,-1.05,1.2,-2.8,-2.5,2.7,-0.25,2.8,0.8
2, swear god company full stupid workers bad experience recently u keep questioning put u hold bare long rude im waiting phone delivery long time keep telling tmrw delivered cancelled appointment im thinking cancel contract tried contact manager bt dont want give phine manager talk u way tht u angryand cut phone ,1,4,1,2,1,2,0,2,3,6,-2.75,Negative,03-Nov-18,Saturday,Nov-18,,,,,1.8,-2.2,-0.25,1,3.5,-1.65,3.55,0.6,4.8,-0.75,0.05,0.25,1,0.5,-2.75
3, broadband custom service really bad think one star even justify service provided trying cancel account third times already still close account every time contacted said account closed week later sent us bill happened one time forgive mistake happen today sent us another one thirth time hard close account cause us much stress every tjmes call spent like hour ,1,3,1,1,1,3,0,2,5,2,-1.9,Negative,03-Nov-18,Saturday,Nov-18,,,,,0.75,-0.6,-1.05,0.1,-6.55,-1.35,0.9,-0.8,0.5,0.9,-1.75,0.75,-0.5,2.15,-1.9
4, absolute joke let scam company charge bill refund overcharged last year pound month refund saying duty notify contract fulfilled large company uses size bully way loose complaints like exist years nearly leaving soon asap ,2,0,0,1,0,0,0,0,3,1,-0.05,Negative,03-Nov-18,Saturday,Nov-18,,,,,-0.8,-0.6,0,1,-0.15,-2.05,1.9,1.45,-0.6,-0.65,0.95,-1,-1.1,-0.2,-0.05
5, shocking company first months contract great loved red entertainment pack etc sky sports mobile etcend august got phone call saying used data past months previous month hotspotting lot work travelling bought extra gb previous month russia data inclusive buy cut story short conveniently phoned try superior contract politely refused number times told try free days cancel need extra data return original contract immediately asked number phone cancel sure want free got phone said yesfast forward hours bill went £ month aint free increase contract meant extra £ month gb data went store straight away asked changed back said back original gb red entertainment gb bonus data enticed signed contract told may take bit time tariff migrations easy left store edinburgh around day half later got text say back contract gb data bonus gb spoke someone explained gb option anymore sorry said escalate terminate contract due fact back contract signed year previous think totally fair one members team said lets see promised gb back text received hour later goodwill gesture given additional gb data us words effect goodwill gesture cop argued weeks phone livechat take time work deal calls several hours days arguing happy let stay contract lower original one eventually one members team said back original contract waiver early termination charge let quit contract original contract back also removed flexi upgrade sub £ getting ready upgrade iphone x well writing also account anybody accept note account let leave got argued still trying solve contract weeks first complained everytime reset contract trying top additional bills removed sky sports pack subscription something paid £ month £ sky sports bills added overall bill seem process one manager spoke seemed one top guys speak customer care found whole problem said fix now honest patience gone past point repair wanted honour early termination charge guy accept chance fought say despite writing eligible leave anymore kept getting passed person person sometimes hold time long someone pick call clue issue explain hate think call log endsomeone finally read notes account told clear day allowed walk away charge sortedthink month line receive text saying final bill £ funnily enough cost quoted early term charge phoned processed refund paying september bill leaving b removed etc account told hour speaking someone look notes charge removed thought sorted week half later checked bank refund despite saying refund working days phoned spent hour half phone weekend speaking asking happened etc spoke manager told removed account refund bank tuesday gave benefit doubt check bank tuesday got text thursday though saying account overdue £ missed payment took hour working day phone kept getting put hold everything eventually got scottish lad alex think looked everything account speechless understand instead trying gb data leaving gb data give gb data cover additional cost understand treated poorly etc must spoken people promised something whether getting original data back processing refund date etc promises fulfilled alex eventually sorted account able remove £ charges gave refund together £ goodwill compensation payment also explained people shying away removing etc £ due sum money despite promised notes stressing affecting credit rating everything missed payment £ due removing details way access bills online anymore chased eventually gone debt collection agency chase promised things many different people settled still chase £ compensation considerable amount time phone store chat good enough horrible company ,9,19,5,8,9,14,9,20,24,32,13.5,Positive,03-Nov-18,Saturday,Nov-18,,,,,-0.55,-1.6,-2.35,0.7,0.75,1.55,3.5,2.35,-3.25,-2.25,-1.9,-0.75,-1.7,3.05,13.5
6, recently swapped talktalk broadband telephone service october th wife mobile phone contract years thought give try service goodsince th october telephone broadband service broadband service restored days numerous calling customer service heard anybody rings now sorry barred calling number calling every day service restored told first problem direct debit set missing payment wife phone clear admitted fault end promised restore line within hours last days still waiting said escalating glasgow technical team still waiting nobody calling us resolve matter constantly calling constantly told switched causing unnecessary inconvenience personal family home abroad unable contact us properly small businesssole trader customers unable contact us lost revenue service calls per day hear message sorry barred calling number thinking pay phone bill appalled service received new customers recommend anybody based experienced sure one team going reply review usual sorry experiencing bad service contact us resolve maybe call back customers resolve issues bad review await response unhappy customer ,2,5,2,3,1,7,0,8,11,7,-0.1,Negative,02-Nov-18,Friday,Nov-18,,,,,0.35,1.05,0.9,-4.55,-0.6,-2.8,-1.4,0.7,0.5,-1.1,0.25,1.85,2.2,-0.05,-0.1
7, terrible years  ve disgraceful disappointing never ,2,0,2,1,0,2,0,0,3,0,-2.25,Negative,02-Nov-18,Friday,Nov-18,,,,,0.7,-1,-2.6,1.8,0.7,2.4,-4.3,-1.55,-0.9,-0.35,0,-5.5,-1.25,1.8,-2.25
8, give zero stars bunch crooks also leak data customers deny wrong classic saying  m sure heard time time   sorry system error  basically cut long story short started receiving messages people s orders number contacted useless clowns told saying sorry system error won t happen  s sorted couple weeks later message am password updated successfully amazing didn t even update contacted lovely team sorry system error everything good end change password case fast forward month ago started getting messages people s orders one every day least message credit check done order  s mine order messages contact clowns told sorry system error orders rest assured nothing worry explain password pin account changed share name customer  s order guys name address  s right  t share info  m currently going complaint email provided send evidence doesn t work tho surprise surprise guess system errorpeople stay away worst customer service idea lie teeth cause hassle  s worth ,3,8,1,4,5,5,5,9,9,14,0.95,Positive,02-Nov-18,Friday,Nov-18,,,,,-2.95,-1,-0.75,-2.85,2.7,-0.75,1.85,1.25,0.4,1.65,0.45,-1.15,0.75,-0.85,0.95
9, absolutely unacceptable behaviour company spent many years cut long story short contract finished years ago received bill blue pounds month afterwards queried assured mistake owed nothing willing pay anything owed finish contract cleanly done dusted forget whole year passes thin air received bill pound totally distressed called spent hour phone agent bottom mysterious rising bill assured nothing worry error system automatically updating file got say phone owed zero pounds gave word rectified never hear took note name agent number time date call discussed conclusion demanded writing later received letter form confirmation owed zero pounds exactly logged letter got life forgot clean house move later found letter threw along details phone call thought wouldnt need big mistake today years contract finished received letter debt collection agency demanding £ rang worried confused wondering hell going told sold debt regards outstanding bill name pound sprung nowhere escalated pound potentially debt collectors door rang hold records voice calls days agents attached notes previous calls finished account hadnt called thrown letter details previous calls didnt leg stand asked manager manager finally got top level spoken woman rude barely stay calm told pound remained active slowly accumulated years phone calls made contract ended apparently idea happened transfered number day contract ended thats beside point previous agents assured error end rectifed plus received letter proof able provide vague times dates evidence couldnt back office trained specifically deal complaints profit margins spoken like lowlife liar fraud disgusting woman moment owe debt collection agency £ stress caused break tears partner couldnt eat dinner tonight im sick worry mobile phone contract moronic staff truly believe wouldnt pay pound bill finish contract cleanly even let contract whilst owing money contacted every year willing pay originally agents spoke assured didnt couldnt pay even tried wanted give money deliberately put hours time phone years later still wont stop whole company seems like sinking ship please anyone advice beg contact dont know worry pay keeps going going never ending look reviews online everything associated thousands upon thousands horror stories negative reviews compare reviews tesco giffgaff see thousands positive happy reviews deter one person signing review success huge favour dont anything incidious poisonous bunch lying ignorant thieves tony ,9,19,10,8,10,15,6,19,30,22,-10.1,Negative,02-Nov-18,Friday,Nov-18,,,,,1.75,-0.5,0.05,-0.65,0.55,-1.45,1.55,1.15,-0.85,0.4,4.7,-2.7,2.4,2.65,-10.1
10, ordered new phone gift smartwatch received phone turned claim free gift trouble started rung call centre use online chat first sent link amazon echo four phone calls gave phone number good finally got sent link huawei work altering slightly finally got went claim process asked proof purchase contacted call centre said give proof purchase received order number tracking id receipt number continue claim recontacted call centre now give tracking number still know work believe simply link already proof simplify process yet call centre totally utterly failed ,0,6,1,0,4,0,4,6,1,6,3.3,Positive,02-Nov-18,Friday,Nov-18,,,,,-2.2,0.15,0.85,0.55,0.8,0.35,-1.6,-0.6,4,1.3,-0.75,2,-0.6,-1.5,3.3
