"","wordcloud_bigram_ee$ngrams","cat_sent_ee","wordcloud_bigram_ee$freq"
"1","customer service ","Neutral",720
"2","customer services ","Neutral",154
"3","£ month ","Neutral",117
"4","even though ","Neutral",116
"5","sim card ","Neutral",109
"6","new phone ","Positive",107
"7","cancel contract ","Negative",85
"8","mobile phone ","Neutral",79
"9","call back ","Neutral",78
"10","pay go ","Negative",76
"11","next day ","Neutral",75
"12","per month ","Neutral",64
"13","pac code ","Neutral",64
"14","gb data ","Neutral",64
"15","direct debit ","Neutral",63
"16","new contract ","Positive",62
"17","£ per ","Neutral",60
"18","phone contract ","Neutral",58
"19","pay £ ","Negative",51
"20","month contract ","Neutral",51
"21","don t ","Neutral",49
"22","every time ","Neutral",48
"23","phone call ","Neutral",48
"24","days later ","Neutral",47
"25","call centre ","Neutral",47
"26","customer years ","Neutral",44
"27","phone calls ","Neutral",42
"28","live chat ","Neutral",39
"29","many years ","Neutral",39
"30","years ago ","Neutral",39
"31","went store ","Neutral",38
"32","years now ","Neutral",38
"33","end contract ","Neutral",38
"34","year contract ","Neutral",37
"35","use phone ","Neutral",36
"36","bank account ","Neutral",35
"37","paying £ ","Neutral",35
"38","loyal customer ","Positive",35
"39","company ever ","Neutral",34
"40","call customer ","Neutral",34
"41","called customer ","Neutral",33
"42","new sim ","Positive",33
"43","didn t ","Neutral",33
"44","put hold ","Neutral",32
"45","new one ","Positive",32
"46","went back ","Neutral",32
"47","poor service ","Negative",32
"48","every month ","Neutral",32
"49","waste time ","Negative",32
"50","contract phone ","Neutral",32
"51","phone number ","Neutral",32
"52","cost £ ","Neutral",31
"53","two weeks ","Neutral",31
"54","last month ","Neutral",31
"55","bill £ ","Neutral",31
"56","third party ","Neutral",30
"57","phone company ","Neutral",30
"58","customer service"", ","Neutral",29
"59","better deal ","Positive",29
"60","money back ","Positive",29
"61","never ever ","Neutral",29
"62","worst company ","Negative",28
"63","sim contract ","Neutral",28
"64","go back ","Neutral",28
"65","home broadband ","Neutral",28
"66","carphone warehouse ","Neutral",28
"67","contract told ","Neutral",28
"68","last year ","Neutral",28
"69","pay monthly ","Negative",27
"70","hours phone ","Neutral",27
"71","first time ","Neutral",27
"72","customer support ","Positive",27
"73","phone told ","Neutral",27
"74","t mobile ","Neutral",27
"75","customer care ","Positive",27
"76","months later ","Neutral",27
"77","another provider ","Neutral",27
"78","another phone ","Neutral",26
"79","cancelled contract ","Negative",26
"80","service team ","Neutral",25
"81","many times ","Neutral",24
"82","told phone ","Neutral",24
"83","phone unlocked ","Neutral",24
"84","old phone ","Neutral",24
"85","worst customer ","Negative",23
"86","charged £ ","Neutral",23
"87","contract ends ","Neutral",23
"88","service ever ","Neutral",22
"89","weeks later ","Neutral",22
"90","phone line ","Neutral",22
"91","within days ","Neutral",22
"92","much better ","Positive",22
"93","two years ","Neutral",22
"94","terrible customer ","Negative",22
"95","new customer ","Positive",21
"96","service told ","Neutral",21
"97","half hour ","Neutral",21
"98","cancelling contract ","Negative",21
"99","back shop ","Neutral",21
"100","line rental ","Neutral",21
"101","weeks ago ","Neutral",21
"102","months ago ","Neutral",21
"103","still waiting ","Neutral",21
"104","got told ","Neutral",21
"105","charge £ ","Neutral",20
"106","two days ","Neutral",20
"107","credit check ","Positive",20
"108","make calls ","Neutral",20
"109","go store ","Neutral",20
"110","one star ","Positive",20
"111","couldn t ","Neutral",20
"112","year old ","Neutral",20
"113","store manager ","Neutral",20
"114","several times ","Neutral",20
"115","first place ","Neutral",20
"116","phone back ","Neutral",20
"117","phone broadband ","Neutral",19
"118","months contract ","Neutral",19
"119","stay away ","Neutral",19
"120","poor customer ","Negative",19
"121","phone sent ","Neutral",19
"122","monthly contract ","Neutral",19
"123","got phone ","Neutral",19
"124","never use ","Neutral",19
"125","phone still ","Neutral",19
"126","called back ","Neutral",19
"127","someone else ","Neutral",19
"128","told call ","Neutral",19
"129","last months ","Neutral",19
"130","two months ","Neutral",18
"131","buy new ","Positive",18
"132","hold minutes ","Neutral",18
"133","pay bill ","Negative",18
"134","phone contracts ","Neutral",18
"135","bad customer ","Negative",18
"136","went shop ","Neutral",18
"137","service provider ","Neutral",18
"138","another network ","Neutral",18
"139","email address ","Neutral",18
"140","contract ended ","Neutral",18
"141","later still ","Neutral",18
"142","speak manager ","Neutral",18
"143","unlock phone ","Neutral",18
"144","back store ","Neutral",18
"145","avoid like ","Neutral",18
"146","new iphone ","Positive",18
"147","internet connection ","Neutral",18
"148","take money ","Positive",18
"149","member staff ","Neutral",17
"150","contract months ","Neutral",17
"151","one month ","Neutral",17
