"","wordcloud_bigram_oo$ngrams","cat_sent_oo","wordcloud_bigram_oo$freq"
"1","customer service ","Neutral",689
"2","customer services ","Neutral",186
"3","new phone ","Positive",140
"4","o customer ","Neutral",123
"5","call back ","Neutral",113
"6","pay go ","Negative",108
"7","£ month ","Neutral",102
"8","live chat ","Neutral",101
"9","next day ","Neutral",97
"10","sim card ","Neutral",90
"11","even though ","Neutral",83
"12","cancel contract ","Negative",81
"13","contract o ","Neutral",76
"14","new contract ","Positive",67
"15","mobile phone ","Neutral",65
"16","pac code ","Neutral",65
"17","days later ","Neutral",65
"18","every time ","Neutral",63
"19","new sim ","Positive",63
"20","phone call ","Neutral",62
"21","phone calls ","Neutral",61
"22","o years ","Neutral",61
"23","online chat ","Neutral",60
"24","direct debit ","Neutral",58
"25","customer years ","Neutral",56
"26","£ per ","Neutral",56
"27","o store ","Neutral",54
"28","years now ","Neutral",53
"29","o shop ","Neutral",52
"30","called o ","Neutral",52
"31","loyal customer ","Positive",50
"32","per month ","Neutral",49
"33","contacted o ","Neutral",49
"34","month contract ","Neutral",49
"35","working days ","Positive",47
"36","pay £ ","Negative",47
"37","within days ","Neutral",47
"38","phone o ","Neutral",46
"39","go back ","Neutral",45
"40","call centre ","Neutral",44
"41","don t ","Neutral",43
"42","still waiting ","Neutral",42
"43","money back ","Positive",42
"44","service o ","Neutral",40
"45","many years ","Neutral",40
"46","use o ","Neutral",40
"47","phone contract ","Neutral",39
"48","call o ","Neutral",38
"49","later still ","Neutral",38
"50","months ago ","Neutral",38
"51","company ever ","Neutral",37
"52","years never ","Neutral",37
"53","every month ","Neutral",35
"54","never use ","Neutral",35
"55","pay monthly ","Negative",34
"56","charged £ ","Neutral",34
"57","take money ","Positive",34
"58","iphone s ","Neutral",33
"59","text messages ","Neutral",33
"60","phone company ","Neutral",33
"61","use phone ","Neutral",33
"62","phone back ","Neutral",33
"63","years ago ","Neutral",33
"64","bank account ","Neutral",32
"65","unlock phone ","Neutral",32
"66","end contract ","Neutral",32
"67","never ever ","Neutral",32
"68","worst customer ","Negative",31
"69","carphone warehouse ","Neutral",31
"70","monthly contract ","Neutral",31
"71","waste time ","Negative",31
"72","speak manager ","Neutral",31
"73","back o ","Neutral",31
"74","contract phone ","Neutral",31
"75","old number ","Neutral",31
"76","another provider ","Neutral",31
"77","old phone ","Neutral",30
"78","go o ","Neutral",30
"79","gb data ","Neutral",30
"80","bill £ ","Neutral",30
"81","sim contract ","Neutral",29
"82","first time ","Neutral",29
"83","speak someone ","Neutral",29
"84","service ever ","Neutral",28
"85","o contract ","Neutral",28
"86","day delivery ","Positive",28
"87","new one ","Positive",28
"88","weeks later ","Neutral",28
"89","brand new ","Positive",28
"90","several times ","Neutral",28
"91","customer service"", ","Neutral",28
"92","paying £ ","Neutral",28
"93","months later ","Neutral",28
"94","last year ","Neutral",28
"95","credit rating ","Positive",28
"96","put hold ","Neutral",27
"97","pay bill ","Negative",27
"98","o told ","Neutral",27
"99","call customer ","Neutral",27
"100","paid £ ","Neutral",26
"101","customer o ","Neutral",26
"102","£ phone ","Neutral",26
"103","poor service ","Negative",26
"104","phone bill ","Neutral",26
"105","cost £ ","Neutral",25
"106","service team ","Neutral",25
"107","went store ","Neutral",25
"108","customer support ","Positive",25
"109","service received ","Positive",24
"110","phone said ","Neutral",24
"111","network coverage ","Neutral",24
"112","told phone ","Neutral",24
"113","phone told ","Neutral",24
"114","phone still ","Neutral",24
"115","o phone ","Neutral",24
"116","resolve issue ","Positive",23
"117","complaints department ","Negative",23
"118","calls texts ","Neutral",23
"119","hours phone ","Neutral",23
"120","old contract ","Neutral",23
"121","called customer ","Neutral",23
"122","leave o ","Negative",23
"123","another network ","Neutral",23
"124","cancelled contract ","Negative",23
"125","o account ","Neutral",23
"126","better deal ","Positive",23
"127","phone number ","Neutral",23
"128","upgrade phone ","Neutral",23
"129","two months ","Neutral",22
"130","year contract ","Neutral",22
"131","last week ","Neutral",22
"132","o network ","Neutral",22
"133","much better ","Positive",22
"134","within hours ","Neutral",22
"135","last months ","Neutral",22
"136","another phone ","Neutral",21
"137","straight away ","Positive",21
"138","good service ","Positive",21
"139","stay away ","Neutral",21
"140","went o ","Neutral",21
"141","replacement phone ","Neutral",21
"142","line rental ","Neutral",21
"143","different people ","Neutral",21
"144","back store ","Neutral",21
"145","someone else ","Neutral",21
"146","new iphone ","Positive",21
"147","sim deal ","Positive",21
"148","two years ","Neutral",21
"149","last time ","Neutral",21
"150","contact o ","Positive",20
"151","time phone ","Neutral",20
"152","two weeks ","Neutral",20
"153","bad customer ","Negative",20
"154","go sim ","Neutral",20
"155","poor customer ","Negative",20
"156","experience o ","Neutral",20
"157","
""o years ","Neutral",20
"158","o never ","Neutral",20
"159","chat service ","Neutral",20
"160","£ £ ","Neutral",20
"161","customer care ","Positive",20
"162","th march ","Neutral",20
"163","""o years ","Neutral",19
"164","business contract ","Neutral",19
"165","credit check ","Positive",19
"166","member staff ","Neutral",19
"167","many times ","Neutral",19
"168","web chat ","Neutral",19
"169","loyal customers ","Positive",19
"170","recommend o ","Positive",19
"171","recommend anyone ","Positive",19
"172","money account ","Positive",19
"173","three times ","Neutral",19
"174","didn t ","Neutral",19
"175","using phone ","Neutral",19
"176","rang o ","Neutral",19
"177","phone use ","Neutral",19
"178","spent hours ","Negative",18
"179","phone sim ","Neutral",18
"180","asked speak ","Neutral",18
"181","final bill ","Neutral",18
"182","went back ","Neutral",18
"183","time call ","Neutral",18
"184","phone sent ","Neutral",18
"185","taking money ","Positive",18
"186","o said ","Neutral",18
"187","£ bill ","Neutral",18
"188","non existent ","Neutral",18
"189","last years ","Neutral",18
"190","avoid o ","Negative",18
"191","o service ","Neutral",18
"192","terrible customer ","Negative",18
"193","samsung galaxy ","Neutral",18
"194","charge £ ","Neutral",17
"195","phone service ","Neutral",17
"196","data allowance ","Neutral",17
"197","cooling period ","Neutral",17
"198","come back ","Neutral",17
"199","wanted cancel ","Negative",17
"200","finally got ","Positive",17
"201","phone phone ","Neutral",17
"202","told take ","Neutral",17
"203","long time ","Neutral",17
"204","terrible service ","Negative",17
