"","wordcloud_bigram_te$ngrams","cat_sent_te","wordcloud_bigram_te$freq"
"1","customer service ","Neutral",10
"2","motorola razr ","Neutral",5
"3","came back ","Neutral",5
"4","customer services ","Neutral",5
"5","call back ","Neutral",4
"6","mobile phone ","Neutral",4
"7","offer compensation ","Positive",4
"8","phone shop ","Neutral",4
"9","leave without ","Negative",3
"10","best customer ","Positive",3
"11","service weeks ","Neutral",3
"12","weeks ago ","Neutral",3
"13","go another ","Neutral",3
"14","early cancellation ","Neutral",3
"15","days later ","Neutral",3
"16","month contract ","Neutral",3
"17","emergency contact ","Negative",2
"18","called free ","Positive",2
"19","fine £ ","Positive",2
"20","phone working ","Positive",2
"21","pay go ","Negative",2
"22","asked speak ","Neutral",2
"23","never problems ","Negative",2
"24","service message ","Neutral",2
"25","network connection ","Neutral",2
"26","call help ","Neutral",2
"27","one month ","Neutral",2
"28","pac number ","Neutral",2
"29","switched language ","Neutral",2
"30","better service ","Positive",2
"31","gone limit ","Negative",2
"32","sim card ","Neutral",2
"33","always helpful ","Positive",2
"34","blah blah ","Negative",2
"35","getting service ","Neutral",2
"36","customer support ","Positive",2
"37","months payment ","Negative",2
"38","fix problem ","Negative",2
"39","unlock handset ","Neutral",2
"40","attitude towards ","Neutral",2
"41","contact device ","Positive",2
"42","monthly fee ","Negative",2
"43","cancellation fees ","Neutral",2
"44","free texts ","Positive",2
"45","phone emergency ","Negative",2
"46","language chinese ","Neutral",2
"47","bank account ","Neutral",2
"48","disabled pensioner ","Negative",2
"49","waste time ","Negative",2
"50","years ago ","Neutral",2
"51","th september ","Neutral",2
"52","using phone ","Neutral",2
"53","shop helston ","Neutral",2
"54","jiggy bag ","Neutral",2
"55","pin number ","Neutral",2
"56","think going ","Neutral",2
"57","told manger ","Neutral",2
"58","another company ","Neutral",2
"59","back english ","Neutral",2
"60","texts estate ","Neutral",2
"61","service always ","Neutral",2
"62","iphone se ","Neutral",2
"63","bought sim ","Neutral",2
"64","whole story ","Neutral",2
"65","voided warranty ","Negative",2
"66","estate agents ","Neutral",2
"67","offer think ","Positive",1
"68","compensation denial ","Negative",1
"69","now disabled ","Negative",1
"70","attack average ","Negative",1
"71","later stage ","Neutral",1
"72","time precious ","Positive",1
"73","""absolute garbage ","Negative",1
"74","matter trustpilot ","Neutral",1
"75","plague"", 
""hate ","Negative",1
"76","gigs total ","Neutral",1
"77","conditions notice ","Neutral",1
"78","much home ","Neutral",1
"79","make reasonable ","Positive",1
"80","annoying mobile ","Negative",1
"81","told weeks ","Neutral",1
"82","taken step"", ","Neutral",1
"83","might one ","Neutral",1
"84","might stuck ","Negative",1
"85","wanted leave ","Negative",1
"86","new set ","Positive",1
"87","car break ","Negative",1
"88","never put ","Neutral",1
"89","settings convinced ","Positive",1
"90","verbally cancelling ","Negative",1
"91","using mobile ","Neutral",1
"92","staff public ","Neutral",1
"93","country might ","Neutral",1
"94","please never ","Positive",1
"95","escalated ombudsman ","Neutral",1
"96","spent hours ","Negative",1
"97","also told ","Neutral",1
"98","unlocked spending ","Neutral",1
"99","companies mins ","Neutral",1
"100","please point ","Positive",1
"101","problem call ","Negative",1
"102","zero stars ","Neutral",1
"103","two months ","Neutral",1
"104","possibly longer ","Neutral",1
"105","contact week ","Positive",1
"106","comes phone ","Neutral",1
"107","years shown ","Neutral",1
"108","food nonbrand ","Positive",1
"109","email s ","Neutral",1
"110","connection spoke ","Neutral",1
"111","see feeling ","Positive",1
"112","found problem ","Negative",1
"113","miles away ","Neutral",1
"114","help behaviour"", ","Neutral",1
"115","never read"", ","Neutral",1
"116","provider went ","Neutral",1
"117","importance able ","Positive",1
"118","wanted give ","Neutral",1
"119","valid code ","Neutral",1
"120","come end ","Neutral",1
"121","price minutes ","Neutral",1
"122","identity theft ","Negative",1
"123","seem data ","Neutral",1
"124","agent refused ","Negative",1
"125","contact facebroke ","Positive",1
"126","vary bang ","Neutral",1
"127","countstwo days ","Neutral",1
"128","motorola phones ","Neutral",1
"129","great really ","Positive",1
"130","used capped ","Neutral",1
"131","giving one ","Positive",1
"132","socket deliberately ","Neutral",1
"133","happened phone ","Neutral",1
"134","nonexistent using ","Negative",1
"135","points salesperson ","Neutral",1
"136","business model ","Positive",1
"137","expecting take ","Neutral",1
"138","explained go ","Neutral",1
"139","mountain bog"", ","Negative",1
"140","empire like ","Positive",1
"141","help offered ","Neutral",1
"142","supportive mobile ","Positive",1
"143","couple days ","Neutral",1
"144","mobile misleading ","Negative",1
"145","prices good ","Positive",1
"146","th june ","Neutral",1
"147","live uk ","Neutral",1
"148","latter absolute ","Negative",1
"149","main course ","Positive",1
"150","walk nearest ","Neutral",1
"151","matter needs ","Neutral",1
"152","number finished ","Neutral",1
"153","starting think ","Neutral",1
"154","limited range ","Negative",1
"155","put email ","Neutral",1
"156","use mobile ","Neutral",1
