"","wordcloud_bigram_th$ngrams","cat_sent_th","wordcloud_bigram_th$freq"
"1","customer service ","Neutral",666
"2","feel home ","Neutral",200
"3","pac code ","Neutral",160
"4","cancel contract ","Negative",116
"5","direct debit ","Neutral",116
"6","customer services ","Neutral",112
"7","call centre ","Neutral",106
"8","use phone ","Neutral",102
"9","sim card ","Neutral",97
"10","call back ","Neutral",87
"11","even though ","Neutral",80
"12","able use ","Neutral",76
"13","£ month ","Neutral",76
"14","new phone ","Positive",72
"15","live chat ","Neutral",70
"16","pay go ","Negative",67
"17","saved £ ","Positive",63
"18","don t ","Neutral",61
"19","didn t ","Neutral",60
"20","phone number ","Neutral",58
"21","gb data ","Neutral",55
"22","phone calls ","Neutral",53
"23","£ per ","Neutral",50
"24","using phone ","Neutral",49
"25","next day ","Neutral",47
"26","new contract ","Positive",47
"27","per month ","Neutral",46
"28","extra cost ","Positive",46
"29","every time ","Neutral",45
"30","unlimited data ","Positive",45
"31","phone abroad ","Neutral",45
"32","phone call ","Neutral",43
"33","new sim ","Positive",42
"34","pay £ ","Negative",42
"35","years now ","Neutral",41
"36","mobile phone ","Neutral",40
"37","cancelled contract ","Negative",39
"38","bank account ","Neutral",38
"39","month contract ","Neutral",38
"40","use data ","Neutral",37
"41","waste time ","Negative",36
"42","years ago ","Neutral",36
"43","customer years ","Neutral",35
"44","service ever ","Neutral",33
"45","phone contract ","Neutral",33
"46","third party ","Neutral",32
"47","go binge ","Neutral",32
"48","better deal ","Positive",32
"49","call centres ","Neutral",32
"50","loyal customer ","Positive",32
"51","data allowance ","Neutral",31
"52","calls texts ","Neutral",31
"53","make sure ","Neutral",31
"54","mobile network ","Neutral",31
"55","sim contract ","Neutral",30
"56","bad customer ","Negative",30
"57","customer relations ","Neutral",30
"58","several times ","Neutral",30
"59","called back ","Neutral",30
"60","mobile data ","Neutral",30
"61","network coverage ","Neutral",29
"62","much better ","Positive",29
"63","days later ","Neutral",29
"64","last month ","Neutral",28
"65","final bill ","Neutral",27
"66","£ using ","Neutral",27
"67","one month ","Neutral",27
"68","many times ","Neutral",27
"69","cancellation fee ","Negative",27
"70","working days ","Positive",27
"71","customer support ","Positive",27
"72","network provider ","Neutral",27
"73","google maps ","Neutral",27
"74","money back ","Positive",27
"75","many years ","Neutral",26
"76","months ago ","Neutral",26
"77","put hold ","Neutral",25
"78","couldn t ","Neutral",25
"79","charged £ ","Neutral",25
"80","another network ","Neutral",25
"81","last year ","Neutral",25
"82","within hours ","Neutral",25
"83","take money ","Positive",25
"84","bill £ ","Neutral",25
"85","worst customer ","Negative",24
"86","""feel home ","Neutral",24
"87","last week ","Neutral",24
"88","used phone ","Neutral",24
"89","online chat ","Neutral",23
"90","called customer ","Neutral",23
"91","every month ","Neutral",23
"92","contract end ","Neutral",23
"93","indian call ","Neutral",23
"94","end contract ","Neutral",23
"95","sim deal ","Positive",23
"96","complaints team ","Negative",22
"97","go back ","Neutral",22
"98","cost £ ","Neutral",22
"99","hours phone ","Neutral",22
"100","service team ","Neutral",22
"101","good customer ","Positive",22
"102","paying £ ","Neutral",22
"103","two years ","Neutral",22
"104","another phone ","Neutral",21
"105","complaints department ","Negative",21
"106","home service ","Neutral",21
"107","g g ","Neutral",21
"108","year contract ","Neutral",21
"109","within days ","Neutral",21
"110","£ £ ","Neutral",21
"111","data roaming ","Neutral",21
"112","two months ","Neutral",20
"113","want cancel ","Negative",20
"114","two weeks ","Neutral",20
"115","back uk ","Neutral",20
"116","next month ","Neutral",20
"117","poor customer ","Negative",20
"118","feel like ","Positive",20
"119","use internet ","Neutral",20
"120","new customers ","Positive",20
"121","g coverage ","Neutral",19
"122","contract months ","Neutral",19
"123","pay bill ","Negative",19
"124","first time ","Neutral",19
"125","web chat ","Neutral",19
"126","recommend anyone ","Positive",19
"127","roaming charges ","Neutral",19
"128","t even ","Neutral",19
"129","s customer ","Neutral",19
"130","contract phone ","Neutral",19
"131","never received ","Positive",19
"132","someone else ","Neutral",19
"133","contract ends ","Neutral",19
"134","new york ","Positive",18
"135","speak someone ","Neutral",18
"136","contract told ","Neutral",18
"137","phone bill ","Neutral",18
"138","phone back ","Neutral",18
"139","customer service"", ","Neutral",18
"140","still waiting ","Neutral",18
"141","extra £ ","Positive",18
"142","give pac ","Neutral",17
"143","pay monthly ","Negative",17
"144","wanted cancel ","Negative",17
"145","cancelling contract ","Negative",17
"146","eat data ","Positive",17
"147","every day ","Neutral",17
"148","company ever ","Neutral",17
"149","money account ","Positive",17
"150","existing customers ","Neutral",17
"151","speak manager ","Neutral",17
"152","won t ","Positive",17
"153","call customer ","Neutral",17
"154","centre staff ","Neutral",17
"155","told call ","Neutral",17
"156","want leave ","Negative",17
"157","terrible customer ","Negative",17
"158","months contract ","Neutral",16
"159","extra charges ","Positive",16
"160","new one ","Positive",16
"161","definitely recommend ","Positive",16
"162","told phone ","Neutral",16
"163","poor service ","Negative",16
"164","wouldn t ","Neutral",16
"165","phone company ","Neutral",16
"166","support team ","Positive",16
"167","tried cancel ","Negative",16
"168","went shop ","Neutral",16
"169","service provider ","Neutral",16
"170","first place ","Neutral",16
"171","debt collection ","Negative",16
"172","trying cancel ","Negative",16
"173","contract ended ","Neutral",16
"174","like home ","Positive",16
"175","never go ","Neutral",16
"176","wasn t ","Neutral",16
"177","credit score ","Positive",16
"178","""worst customer ","Negative",16
"179","another provider ","Neutral",16
"180","never ever ","Neutral",16
"181","new provider ","Positive",16
"182","paid £ ","Neutral",15
"183","value money ","Positive",15
"184","two days ","Neutral",15
"185","credit check ","Positive",15
"186","months now ","Neutral",15
"187","using data ","Neutral",15
"188","text messages ","Neutral",15
"189","make calls ","Neutral",15
"190","went store ","Neutral",15
"191","phone network ","Neutral",15
"192","finally got ","Positive",15
"193","never got ","Neutral",15
"194","hour phone ","Neutral",15
"195","text message ","Neutral",15
"196","last years ","Neutral",15
"197","service never ","Neutral",15
"198","told pay ","Negative",15
"199","service received ","Positive",14
"200","asked speak ","Neutral",14
"201","mobile service ","Neutral",14
"202","took contract ","Neutral",14
"203","sim cards ","Neutral",14
"204","good value ","Positive",14
"205","nearly years ","Neutral",14
"206","stay away ","Neutral",14
"207","good deal ","Positive",14
"208","unable use ","Negative",14
"209","t know ","Neutral",14
"210","phone work ","Positive",14
"211","taking money ","Positive",14
"212","price plan ","Neutral",14
"213","cancelled direct ","Negative",14
"214","£ bill ","Neutral",14
"215","email address ","Neutral",14
"216","better deals ","Positive",14
"217","different people ","Neutral",14
"218","weeks ago ","Neutral",14
"219","wifi calling ","Neutral",14
"220","debt collectors ","Negative",14
"221","iphone plus ","Neutral",14
"222","months later ","Neutral",14
"223","service great ","Positive",14
"224","put phone ","Neutral",14
"225","upgrade phone ","Neutral",14
"226","spent hours ","Negative",13
"227","charge £ ","Neutral",13
"228","anyone else ","Neutral",13
"229","new customer ","Positive",13
"230","days ago ","Neutral",13
