"","wordcloud_bigram_vi$ngrams","cat_sent_vi","wordcloud_bigram_vi$freq"
"1","customer service ","Neutral",413
"2","sim card ","Neutral",130
"3","new sim ","Positive",92
"4","call back ","Neutral",91
"5","customer services ","Neutral",88
"6","direct debit ","Neutral",68
"7","call centre ","Neutral",68
"8","new phone ","Positive",55
"9","don t ","Neutral",54
"10","cancel contract ","Negative",53
"11","phone calls ","Neutral",49
"12","even though ","Neutral",48
"13","phone call ","Neutral",45
"14","days later ","Neutral",44
"15","next day ","Neutral",42
"16","per month ","Neutral",39
"17","£ per ","Neutral",39
"18","sim deal ","Positive",37
"19","pac code ","Neutral",36
"20","mobile phone ","Neutral",34
"21","service ever ","Neutral",30
"22","gb data ","Neutral",30
"23","£ month ","Neutral",30
"24","charged £ ","Neutral",29
"25","phone back ","Neutral",29
"26","didn t ","Neutral",29
"27","use phone ","Neutral",28
"28","speak manager ","Neutral",28
"29","called back ","Neutral",28
"30","credit rating ","Positive",28
"31","put hold ","Neutral",27
"32","mobile data ","Neutral",27
"33","working days ","Positive",25
"34","call centres ","Neutral",25
"35","every time ","Neutral",24
"36","poor customer ","Negative",24
"37","iphone x ","Neutral",24
"38","sim contract ","Neutral",23
"39","customer years ","Neutral",23
"40","stay away ","Neutral",23
"41","put phone ","Neutral",23
"42","credit check ","Positive",22
"43","phone contract ","Neutral",22
"44","asked speak ","Neutral",21
"45","several times ","Neutral",21
"46","phone number ","Neutral",21
"47","bill £ ","Neutral",21
"48","cancelled contract ","Negative",20
"49","richard branson ","Neutral",20
"50","worst customer ","Negative",19
"51","called customer ","Neutral",19
"52","mobile customer ","Neutral",19
"53","mobile contract ","Neutral",19
"54","pay £ ","Negative",19
"55","centre staff ","Neutral",19
"56","pay monthly ","Negative",18
"57","cooling period ","Neutral",18
"58","sim cards ","Neutral",18
"59","old phone ","Neutral",18
"60","later still ","Neutral",18
"61","company ever ","Neutral",18
"62","credit score ","Positive",18
"63","pay go ","Negative",17
"64","speak someone ","Neutral",17
"65","received email ","Positive",17
"66","within hours ","Neutral",17
"67","new contract ","Positive",17
"68","month contract ","Neutral",17
"69","charge £ ","Neutral",16
"70","credit agreement ","Positive",16
"71","year contract ","Neutral",16
"72","online account ","Neutral",16
"73","straight away ","Positive",15
"74","service team ","Neutral",15
"75","contract mobile ","Neutral",15
"76","told phone ","Neutral",15
"77","week later ","Neutral",15
"78","good deal ","Positive",15
"79","security questions ","Neutral",15
"80","every month ","Neutral",15
"81","years ago ","Neutral",15
"82","months ago ","Neutral",15
"83","better deal ","Positive",15
"84","send new ","Positive",15
"85","terrible customer ","Negative",15
"86","called told ","Neutral",14
"87","data allowance ","Neutral",14
"88","customer support ","Positive",14
"89","sales team ","Neutral",14
"90","rolling contract ","Neutral",14
"91","needless say ","Negative",14
"92","hours later ","Neutral",14
"93","email address ","Neutral",14
"94","within days ","Neutral",14
"95","someone else ","Neutral",14
"96","take days ","Neutral",14
"97","told call ","Neutral",14
"98","calls texts ","Neutral",13
"99","hold minutes ","Neutral",13
"100","hours phone ","Neutral",13
"101","weeks later ","Neutral",13
"102","contract told ","Neutral",13
"103","phone told ","Neutral",13
"104","phone customer ","Neutral",13
"105","different people ","Neutral",13
"106","waste time ","Negative",13
"107","without phone ","Neutral",13
"108","end contract ","Neutral",13
"109","call customer ","Neutral",13
"110","data usage ","Neutral",13
"111","use mobile ","Neutral",12
