"","wordcloud_bigram_vo$ngrams","cat_sent_vo","wordcloud_bigram_vo$freq"
"1","customer service ","Neutral",706
"2","customer services ","Neutral",131
"3","don t ","Neutral",122
"4","even though ","Neutral",115
"5","call back ","Neutral",114
"6","company ever ","Neutral",95
"7","£ month ","Neutral",92
"8","direct debit ","Neutral",84
"9","customer care ","Positive",81
"10","sim card ","Neutral",78
"11","every time ","Neutral",73
"12","new phone ","Positive",72
"13","cancel contract ","Negative",71
"14","call centre ","Neutral",70
"15","live chat ","Neutral",68
"16","phone calls ","Neutral",68
"17","every month ","Neutral",63
"18","per month ","Neutral",62
"19","didn t ","Neutral",62
"20","days later ","Neutral",62
"21","£ per ","Neutral",61
"22","mobile phone ","Neutral",60
"23","phone call ","Neutral",60
"24","pay go ","Negative",57
"25","pay £ ","Negative",55
"26","service ever ","Neutral",54
"27","pac code ","Neutral",52
"28","next day ","Neutral",51
"29","phone contract ","Neutral",48
"30","gb data ","Neutral",48
"31","worst company ","Negative",46
"32","new contract ","Positive",45
"33","hours phone ","Neutral",43
"34","customer years ","Neutral",42
"35","online chat ","Neutral",41
"36","years ago ","Neutral",41
"37","loyal customer ","Positive",40
"38","worst customer ","Negative",39
"39","month contract ","Neutral",39
"40","put hold ","Neutral",38
"41","wasn t ","Neutral",38
"42","never ever ","Neutral",38
"43","couldn t ","Neutral",37
"44","charged £ ","Neutral",37
"45","customer service"", ","Neutral",37
"46","phone number ","Neutral",37
"47","make sure ","Neutral",35
"48","still waiting ","Neutral",34
"49","home broadband ","Neutral",33
"50","working days ","Positive",33
"51","first time ","Neutral",33
"52","called back ","Neutral",33
"53","months later ","Neutral",33
"54","bill £ ","Neutral",33
"55","stay away ","Neutral",32
"56","poor customer ","Negative",32
"57","end contract ","Neutral",32
"58","last months ","Neutral",32
"59","go back ","Neutral",31
"60","cancelled contract ","Negative",31
"61","service team ","Neutral",30
"62","go store ","Neutral",30
"63","ever dealt ","Neutral",30
"64","several times ","Neutral",30
"65","phone back ","Neutral",30
"66","resolve issue ","Positive",29
"67","told phone ","Neutral",29
"68","money back ","Positive",29
"69","spent hours ","Negative",28
"70","speak manager ","Neutral",28
"71","credit score ","Positive",28
"72","within days ","Neutral",28
"73","call customer ","Neutral",28
"74","within hours ","Neutral",28
"75","waste time ","Negative",27
"76","two months ","Neutral",26
"77","pay monthly ","Negative",26
"78","many times ","Neutral",26
"79","different people ","Neutral",26
"80","months ago ","Neutral",26
"81","won t ","Positive",26
"82","charge £ ","Neutral",25
"83","avoid avoid ","Negative",25
"84","bank account ","Neutral",25
"85","t even ","Neutral",25
"86","unlock phone ","Neutral",25
"87","data cap ","Neutral",25
"88","another provider ","Neutral",25
"89","customer support ","Positive",24
"90","phone told ","Neutral",24
"91","later still ","Neutral",24
"92","better deal ","Positive",24
"93","paying £ ","Neutral",24
"94","two days ","Neutral",23
"95","poor service ","Negative",23
"96","many years ","Neutral",23
"97","years now ","Neutral",23
"98","phone delivered ","Neutral",23
"99","mobile data ","Neutral",23
"100","cost £ ","Neutral",22
"101","contract cancelled ","Negative",22
"102","week later ","Neutral",22
"103","year contract ","Neutral",22
"104","wouldn t ","Neutral",22
"105","order cancelled ","Negative",22
"106","recommend anyone ","Positive",22
"107","phone customer ","Neutral",22
"108","£ £ ","Neutral",22
"109","never received ","Positive",22
"110","someone else ","Neutral",22
"111","credit rating ","Positive",22
"112","days ago ","Neutral",21
"113","days notice ","Neutral",21
"114","month later ","Neutral",21
"115","bad customer ","Negative",21
"116","third party ","Neutral",21
"117","next month ","Neutral",21
"118","one star ","Positive",21
"119","called customer ","Neutral",21
"120","debt collection ","Negative",21
"121","bad service ","Negative",21
"122","every single ","Neutral",21
"123","extra data ","Positive",21
"124","broadband service ","Neutral",21
"125","data usage ","Neutral",21
"126","months contract ","Neutral",20
"127","straight away ","Positive",20
"128","complaints department ","Negative",20
"129","credit check ","Positive",20
"130","data allowance ","Neutral",20
"131","haven t ","Positive",20
"132","sim contract ","Neutral",20
"133","pay bill ","Negative",20
"134","half hour ","Neutral",20
"135","use phone ","Neutral",20
"136","new sim ","Positive",20
"137","first place ","Neutral",20
"138","weeks ago ","Neutral",20
"139","received email ","Positive",20
"140","ms ms ","Neutral",20
"141","contract phone ","Neutral",20
"142","last years ","Neutral",20
"143","
""worst company ","Negative",20
"144","call centres ","Neutral",20
"145","told call ","Neutral",20
"146","trying resolve ","Positive",19
"147","asked speak ","Neutral",19
"148","two weeks ","Neutral",19
"149","text messages ","Neutral",19
"150","went store ","Neutral",19
"151","cancelling contract ","Negative",19
"152","phone company ","Neutral",19
"153","local store ","Neutral",19
"154","last month ","Neutral",19
"155","engineer visit ","Positive",19
"156","service provider ","Neutral",19
"157","every day ","Neutral",19
"158","never go ","Neutral",19
"159","contract end ","Neutral",19
"160","one day ","Neutral",19
"161","""worst customer ","Negative",19
"162","another company ","Neutral",19
"163","contract ends ","Neutral",19
"164","mobile broadband ","Neutral",19
"165","take money ","Positive",19
"166","""worst company ","Negative",19
"167","never recommend ","Positive",18
"168","one month ","Neutral",18
"169","contract told ","Neutral",18
"170","hadn t ","Neutral",18
"171","engineer come ","Neutral",18
"172","t know ","Neutral",18
"173","monthly contract ","Neutral",18
"174","received text ","Positive",18
"175","last week ","Neutral",18
"176","contract ended ","Neutral",18
"177","years never ","Neutral",18
"178","much better ","Positive",18
"179","last year ","Neutral",18
"180","sim deal ","Positive",18
"181","mobile number ","Neutral",18
"182","online account ","Neutral",18
"183","cooling period ","Neutral",17
"184","ever experienced ","Positive",17
"185","cancelled order ","Negative",17
"186","offered £ ","Neutral",17
"187","weeks later ","Neutral",17
"188","went back ","Neutral",17
"189","time call ","Neutral",17
"190","told take ","Neutral",17
"191","upfront cost ","Neutral",17
"192","take contract ","Neutral",17
"193","bad experience ","Negative",17
"194","account number ","Neutral",17
"195","ever come ","Neutral",17
"196","never use ","Neutral",17
"197","wait contract ","Negative",17
